日期,SN,测试结果,地检白板-黑板-测试LED1测试1,地检白板-黑板-测试LED1值1,地检白板-黑板-测试LED1阀值1
2025-09-17 15:54:35,H481500000137XX-D01-250121-00001,NG,NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:54:35,H481500000137XX-D01-250121-00002,NG,NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3725,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:54:35,H481500000137XX-D01-250121-00001,NG,NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3725,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:54:35,H481500000137XX-D01-250121-00002,OK,NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3725,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",PASS,"白板：3725,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:55:02,H481500000137XX-D01-250121-00002,NG,NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3725,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3881,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095",PASS,"白板：3725,黑板：3843","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:55:48,H481500000137XX-D01-250121-00001,NG,NG,"白板：3859,黑板：3868","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:55:48,H481500000137XX-D01-250121-00002,NG,NG,"白板：3859,黑板：3868","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3810,黑板：3856","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:55:48,H481500000137XX-D01-250121-00001,mes NG,NG,"白板：3859,黑板：3868","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3810,黑板：3856","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3859,黑板：3868","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 15:56:20,H481500000137XX-D01-250121-00001,mes NG,NG,"白板：3859,黑板：3868","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3810,黑板：3856","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3859,黑板：3868","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 16:33:44,H481500000137XX-D01-250121-00001,NG,NG,"白板：3871,黑板：3883","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 16:33:44,H481500000137XX-D01-250121-00002,NG,NG,"白板：3903,黑板：3905","白板：300,黑板：200-白板：700,黑板：4095"
2025-09-17 16:33:45,H481500000137XX-D01-250121-00001,mes NG,NG,"白板：3903,黑板：3905","白板：300,黑板：200-白板：700,黑板：4095",NG,"白板：3871,黑板：3883","白板：300,黑板：200-白板：700,黑板：4095"
