日期,SN,测试结果,mcu软件版本测试1,mcu软件版本值1,mcu软件版本阀值1,充电电流测试2,充电电流值2,充电电流阀值2,热风测试3,热风值3,热风阀值3,左回充码测试4,左回充码值4,左回充码阀值4,右回充码测试5,右回充码值5,右回充码阀值5,近卫回充码测试6,近卫回充码值6,近卫回充码阀值6,清水箱在位测试7,清水箱在位值7,清水箱在位阀值7,污水箱在位测试8,污水箱在位值8,污水箱在位阀值8,尘袋在位测试9,尘袋在位值9,尘袋在位阀值9,清洁底座在位测试10,清洁底座在位值10,清洁底座在位阀值10,集尘吸力测试11,集尘吸力值11,集尘吸力阀值11,清水泵电流测试12,清水泵电流值12,清水泵电流阀值12,污水泵电流测试13,污水泵电流值13,污水泵电流阀值13,清洁泵电流测试14,清洁泵电流值14,清洁泵电流阀值14,电磁三通电流测试15,电磁三通电流值15,电磁三通电流阀值15,清洁底座液位测试16,清洁底座液位值16,清洁底座液位阀值16,浊度数据测试17,浊度数据值17,浊度数据阀值17
2026-04-24 17:08:54,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 17:43:10,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 17:44:40,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 17:45:18,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:21:45,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:21:48,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:22:03,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:24:33,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:25:38,T,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:26:20,T,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:30:14,TESTSN002,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:30:32,TESTSN002,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:31:03,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:32:26,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:32:31,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:33:00,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:33:30,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 18:36:54,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:37:55,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:38:46,,mes NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:40:19,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:43:57,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:44:56,TESTSN001,OK,PASS,,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:45:31,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:45:38,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:46:39,TESTSN001,OK,PASS,,-,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:48:07,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:49:08,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:52:04,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
2026-04-24 21:54:14,TESTSN001,NG,PASS,0,002.001.002-002.001.002,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-,NG,0,-,未测试,0,-,NG,0,-
