日期,SN,测试结果,重量(kg)测试1,重量(kg)值1,重量(kg)阀值1
2026-05-08 16:59:22,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:27,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:30,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:34,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:37,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:41,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:45,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 16:59:49,TESTSN001,NG,NG,1.920,100.0-150.0
2026-05-08 19:40:55,TESTSN001,NG,NG,1.940,100.0-150.0
2026-05-08 19:41:13,TESTSN001,NG,NG,1.940,100.0-150.0
